"","X.1","X","Reporter","Partner","Trade_Value__US__","Netweight__kg_","Reporter_ISO","Partner_ISO","Commodity","Year"
"160",6617,6617,"United Arab Emirates:ARE","Ethiopia:ETH",4150,519,"ARE","ETH","Coffee",2005
"161",7408,7408,"Viet Nam:VNM","Ethiopia:ETH",179544,122664,"VNM","ETH","Coffee",2005
"162",7485,7485,"Yemen:YEM","Ethiopia:ETH",86835,27900,"YEM","ETH","Coffee",2010
"163",7500,7500,"Yemen:YEM","Ethiopia:ETH",419187,130324,"YEM","ETH","Coffee",2010
"164",7510,7510,"Yemen:YEM","Ethiopia:ETH",154367,48000,"YEM","ETH","Coffee",2005
"165",7517,7517,"Yemen:YEM","Ethiopia:ETH",277572,71300,"YEM","ETH","Coffee",2005
"166",630,630,"Netherlands:NLD","Ethiopia:ETH",3,8,"NLD","ETH","Gas",2015
"167",1164,1164,"Sudan:SDN","Ethiopia:ETH",1074377,1300000,"SDN","ETH","Gas",2015
"168",1459,1459,"Yemen:YEM","Ethiopia:ETH",251776,676000,"YEM","ETH","Gas",2005
"169",673,673,"Ethiopia:ETH","Djibouti:DJI",1736900,6e+06,"ETH","DJI","Sugar",2005
"170",674,674,"Ethiopia:ETH","Portugal:PRT",8793552,1.5e+07,"ETH","PRT","Sugar",2005
"171",675,675,"Ethiopia:ETH","United Kingdom:GBR",989268,3368000,"ETH","GBR","Sugar",2005
